complex	eggNOG
BCL6-HDAC4 complex	KOG1721@euNOG
BCL6-HDAC4 complex	KOG1343@euNOG
BCL6-HDAC5 complex	KOG1721@euNOG
BCL6-HDAC5 complex	KOG1343@euNOG
BCL6-HDAC7 complex	KOG1721@euNOG
BCL6-HDAC7 complex	KOG1343@euNOG
Multisubunit ACTR coactivator complex	0IRVA@euNOG
Multisubunit ACTR coactivator complex	KOG1472@euNOG
Multisubunit ACTR coactivator complex	0KD30@euNOG
6S-nuclear aryl hydrocarbon (Ah) receptor ligand-activated complex	KOG3560@euNOG
6S-nuclear aryl hydrocarbon (Ah) receptor ligand-activated complex	0KD34@euNOG
BLOC-3 (biogenesis of lysosome-related organelles complex 3)	0IIS2@euNOG
BLOC-3 (biogenesis of lysosome-related organelles complex 3)	0II2Z@euNOG
BLOC-2 (biogenesis of lysosome-related organelles complex 2)	0IKBU@euNOG
BLOC-2 (biogenesis of lysosome-related organelles complex 2)	0IGMD@euNOG
BLOC-2 (biogenesis of lysosome-related organelles complex 2)	KOG3621@euNOG
MUS81-CDS1 complex	KOG1440@euNOG
MUS81-CDS1 complex	KOG2379@euNOG
NCOR complex	KOG1342@euNOG
NCOR complex	0KD7N@euNOG
NCOR complex	KOG1878@euNOG
NCOR complex	0IH6X@euNOG
NCOR complex	KOG0303@euNOG
BLOC-1 (biogenesis of lysosome-related organelles complex 1)	0J16C@euNOG
BLOC-1 (biogenesis of lysosome-related organelles complex 1)	KOG3390@euNOG
BLOC-1 (biogenesis of lysosome-related organelles complex 1)	0IZNP@euNOG
BLOC-1 (biogenesis of lysosome-related organelles complex 1)	KOG4559@euNOG
BLOC-1 (biogenesis of lysosome-related organelles complex 1)	0IEDX@euNOG
BLOC-1 (biogenesis of lysosome-related organelles complex 1)	0IF9S@euNOG
BLOC-1 (biogenesis of lysosome-related organelles complex 1)	0IWCU@euNOG
BLOC-1 (biogenesis of lysosome-related organelles complex 1)	0IX0Y@euNOG
9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex	KOG0545@euNOG
9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex	KOG3560@euNOG
Arp2/3 protein complex	KOG1523@euNOG
Arp2/3 protein complex	KOG2826@euNOG
Arp2/3 protein complex	KOG3155@euNOG
Arp2/3 protein complex	KOG3380@euNOG
Arp2/3 protein complex	KOG1876@euNOG
Arp2/3 protein complex	KOG0678@euNOG
Arp2/3 protein complex	KOG0677@euNOG
PA700 complex	KOG1463@euNOG
PA700 complex	KOG1498@euNOG
PA700 complex	KOG3129@euNOG
PA700 complex	KOG1554@euNOG
PA700 complex	KOG2581@euNOG
PA700 complex	KOG4412@euNOG
PA700 complex	KOG0652@euNOG
PA700 complex	KOG0729@euNOG
PA700 complex	KOG0727@euNOG
PA700 complex	KOG3151@euNOG
PA700 complex	KOG1556@euNOG
PA700 complex	KOG0229@euNOG
PA700 complex	KOG0726@euNOG
PA700 complex	KOG0728@euNOG
PA700 complex	KOG0651@euNOG
PA700 complex	KOG2005@euNOG
PA700 complex	KOG0687@euNOG
PA700 complex	KOG4413@euNOG
PA700 complex	KOG2062@euNOG
PA700 complex	KOG2908@euNOG
Aqp4-Dag1-Dmd-Snta1 complex	0IMEA@euNOG
Aqp4-Dag1-Dmd-Snta1 complex	KOG0223@euNOG
AP1 adaptor complex	KOG1062@euNOG
AP1 adaptor complex	KOG0934@euNOG
